name,date,low,high,open,close,volume,,
test,20170101,0,0,0,0,0,,
test,20170102,1,1,1,0.1986693308,0.2,,
test,20170103,2,2,2,0.3894183423,0.4,,
test,20170104,3,3,3,0.5646424734,0.6,,
test,20170105,4,4,4,0.7173560909,0.8,,
test,20170106,5,5,5,0.8414709848,1,,
test,20170107,6,6,6,0.932039086,1.2,,
test,20170108,7,7,7,0.98544973,1.4,,
test,20170109,8,8,8,0.999573603,1.6,,
test,20170110,9,9,9,0.9738476309,1.8,,
test,20170111,10,10,10,0.9092974268,2,,
test,20170112,11,11,11,0.8084964038,2.2,,
test,20170113,12,12,12,0.6754631806,2.4,,
test,20170114,13,13,13,0.5155013718,2.6,,
test,20170115,14,14,14,0.3349881502,2.8,,
test,20170116,15,15,15,0.1411200081,3,,
test,20170117,16,16,16,-0.0583741434,3.2,,
test,20170118,17,17,17,-0.255541102,3.4,,
test,20170119,18,18,18,-0.4425204433,3.6,,
test,20170120,19,19,19,-0.6118578909,3.8,,
test,20170121,20,20,20,-0.7568024953,4,,
test,20170122,21,21,21,-0.8715757724,4.2,,
test,20170123,22,22,22,-0.9516020739,4.4,,
test,20170124,23,23,23,-0.9936910036,4.6,,
test,20170125,24,24,24,-0.9961646088,4.8,,
test,20170126,25,25,25,-0.9589242747,5,,
test,20170127,26,26,26,-0.8834546557,5.2,,
test,20170128,27,27,27,-0.7727644876,5.4,,
test,20170129,28,28,28,-0.6312666379,5.6,,
test,20170130,29,29,29,-0.4646021794,5.8,,
test,20170131,30,30,30,-0.2794154982,6,,
test,20170201,31,31,31,-0.0830894028,6.2,,
test,20170202,32,32,32,0.1165492049,6.4,,
test,20170203,33,33,33,0.3115413635,6.6,,
test,20170204,34,34,34,0.4941133511,6.8,,
test,20170205,35,35,35,0.6569865987,7,,
test,20170206,36,36,36,0.7936678638,7.2,,
test,20170207,37,37,37,0.8987080958,7.4,,
test,20170208,38,38,38,0.967919672,7.6,,
test,20170209,39,39,39,0.9985433454,7.8,,
test,20170210,40,40,40,0.9893582466,8,,
test,20170211,41,41,41,0.9407305567,8.2,,
test,20170212,42,42,42,0.8545989081,8.4,,
test,20170213,43,43,43,0.7343970979,8.6,,
test,20170214,44,44,44,0.5849171929,8.8,,
test,20170215,45,45,45,0.4121184852,9,,
test,20170216,46,46,46,0.2228899141,9.2,,
test,20170217,47,47,47,0.0247754255,9.4,,
test,20170218,48,48,48,-0.1743267812,9.6,,
test,20170219,49,49,49,-0.3664791293,9.8,,
test,20170220,50,50,50,-0.5440211109,10,,
test,20170221,51,51,51,-0.6998746876,10.2,,
test,20170222,52,52,52,-0.8278264691,10.4,,
test,20170223,53,53,53,-0.9227754216,10.6,,
test,20170224,54,54,54,-0.9809362301,10.8,,
test,20170225,55,55,55,-0.9999902066,11,,
test,20170226,56,56,56,-0.9791777292,11.2,,
test,20170227,57,57,57,-0.9193285257,11.4,,
test,20170228,58,58,58,-0.822828595,11.6,,
test,20170301,59,59,59,-0.6935250848,11.8,,
test,20170302,60,60,60,-0.536572918,12,,
test,20170303,61,61,61,-0.3582292822,12.2,,
test,20170304,62,62,62,-0.1656041754,12.4,,
test,20170305,63,63,63,0.0336230472,12.6,,
test,20170306,64,64,64,0.2315098251,12.8,,
test,20170307,65,65,65,0.4201670368,13,,
test,20170308,66,66,66,0.5920735147,13.2,,
test,20170309,67,67,67,0.74037589,13.4,,
test,20170310,68,68,68,0.8591618149,13.6,,
test,20170311,69,69,69,0.9436956694,13.8,,
test,20170312,70,70,70,0.9906073557,14,,
test,20170313,71,71,71,0.9980266527,14.2,,
test,20170314,72,72,72,0.9656577765,14.4,,
test,20170315,73,73,73,0.8947911721,14.6,,
test,20170316,74,74,74,0.7882520674,14.8,,
test,20170317,75,75,75,0.6502878402,15,,
test,20170318,76,76,76,0.4863986889,15.2,,
test,20170319,77,77,77,0.3031183567,15.4,,
test,20170320,78,78,78,0.1077536523,15.6,,
test,20170321,79,79,79,-0.0919068502,15.8,,
test,20170322,80,80,80,-0.2879033167,16,,
test,20170323,81,81,81,-0.4724219864,16.2,,
test,20170324,82,82,82,-0.6381066823,16.4,,
test,20170325,83,83,83,-0.7783520785,16.6,,
test,20170326,84,84,84,-0.8875670336,16.8,,
test,20170327,85,85,85,-0.9613974919,17,,
test,20170328,86,86,86,-0.996900066,17.2,,
test,20170329,87,87,87,-0.9926593805,17.4,,
test,20170330,88,88,88,-0.9488444979,17.6,,
test,20170331,89,89,89,-0.8672021795,89,,17.8
